代码,名称,"最新收盘价(元,CNY)","总市值(亿元,CNY)","流通市值(亿元,CNY)",交易状态,最新收盘价日期,上市日期,省份,证监会行业,Wind行业,证券类型,上市板,上市交易所
601118.SH,海南橡胶,5.86,250.7745,250.77447,正常交易,2019-04-11,2011-01-07,海南省,CSRC农业,Wind食品、饮料与烟草,A股,主板,上海证券交易所
601126.SH,四方股份,6.82,55.4583,54.82450,正常交易,2019-04-11,2010-12-31,北京,CSRC电气机械及器材制造业,Wind资本货物,A股,主板,上海证券交易所
601127.SH,小康股份,17.55,165.8237,38.76520,正常交易,2019-04-11,2016-06-15,重庆,CSRC汽车制造业,Wind汽车与汽车零部件,A股,主板,上海证券交易所
601128.SH,常熟银行,8.51,213.5247,109.23132,正常交易,2019-04-11,2016-09-30,江苏省,CSRC货币金融服务,Wind银行,A股,主板,上海证券交易所
601137.SH,博威合金,10.17,63.7882,57.35154,停牌,2019-04-11,2011-01-27,浙江省,CSRC有色金属冶炼及压延加工,Wind材料Ⅱ,A股,主板,上海证券交易所
601138.SH,工业富联,15.67,"3,086.2535",175.17332,正常交易,2019-04-11,2018-06-08,广东省,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备,A股,主板,上海证券交易所
601139.SH,深圳燃气,6.25,179.8180,178.41744,正常交易,2019-04-11,2009-12-25,广东省,CSRC燃气生产和供应业,Wind公用事业Ⅱ,A股,主板,上海证券交易所
601155.SH,新城控股,44.29,999.5031,994.74640,正常交易,2019-04-11,2015-12-04,江苏省,CSRC房地产业,Wind房地产Ⅱ,A股,主板,上海证券交易所
601158.SH,重庆水务,6.14,294.7200,294.72000,正常交易,2019-04-11,2010-03-29,重庆,CSRC水的生产和供应业,Wind公用事业Ⅱ,A股,主板,上海证券交易所
601162.SH,天风证券,10.29,533.0220,53.30220,正常交易,2019-04-11,2018-10-19,湖北省,CSRC资本市场服务,Wind多元金融,A股,主板,上海证券交易所
601163.SH,三角轮胎,13.85,110.8000,38.84132,正常交易,2019-04-11,2016-09-09,山东省,CSRC橡胶和塑料制品业,Wind汽车与汽车零部件,A股,主板,上海证券交易所
601166.SH,兴业银行,18.91,"3,928.3995","3,602.79688",正常交易,2019-04-11,2007-02-05,福建省,CSRC货币金融服务,Wind银行,A股,主板,上海证券交易所
601168.SH,西部矿业,6.89,164.1887,164.18870,正常交易,2019-04-11,2007-07-12,青海省,CSRC有色金属矿采选业,Wind材料Ⅱ,A股,主板,上海证券交易所
601169.SH,北京银行,6.31,"1,334.1223","1,151.44948",正常交易,2019-04-11,2007-09-19,北京,CSRC货币金融服务,Wind银行,A股,主板,上海证券交易所
601177.SH,杭齿前进,11.23,44.9267,44.92674,正常交易,2019-04-11,2010-10-11,浙江省,CSRC通用设备制造业,Wind资本货物,A股,主板,上海证券交易所
601179.SH,中国西电,4.36,223.4885,223.48847,正常交易,2019-04-11,2010-01-28,陕西省,CSRC电气机械及器材制造业,Wind资本货物,A股,主板,上海证券交易所
601186.SH,中国铁建,11.66,"1,515.6162","1,341.27843",正常交易,2019-04-11,2008-03-10,北京,CSRC土木工程建筑业,Wind资本货物,A股,主板,上海证券交易所
601188.SH,龙江交通,3.71,48.8191,48.81909,正常交易,2019-04-11,2010-03-19,黑龙江省,CSRC道路运输业,Wind运输,A股,主板,上海证券交易所
601198.SH,东兴证券,13.97,385.2871,385.28710,正常交易,2019-04-11,2015-02-26,北京,CSRC资本市场服务,Wind多元金融,A股,主板,上海证券交易所
601199.SH,江南水务,4.41,41.2428,41.24277,正常交易,2019-04-11,2011-03-17,江苏省,CSRC水的生产和供应业,Wind公用事业Ⅱ,A股,主板,上海证券交易所
601200.SH,上海环境,15.61,109.6671,104.95092,正常交易,2019-04-11,2017-03-31,上海,CSRC生态保护和环境治理业,Wind商业和专业服务,A股,主板,上海证券交易所
601208.SH,东材科技,5.37,33.6485,33.64847,正常交易,2019-04-11,2011-05-20,四川省,CSRC化学原料及化学制品制造业,Wind材料Ⅱ,A股,主板,上海证券交易所
601211.SH,国泰君安,20.16,"1,682.3643","1,515.24945",正常交易,2019-04-11,2015-06-26,上海,CSRC资本市场服务,Wind多元金融,A股,主板,上海证券交易所
601212.SH,白银有色,4.82,336.0970,94.69734,正常交易,2019-04-11,2017-02-15,甘肃省,CSRC有色金属冶炼及压延加工,Wind材料Ⅱ,A股,主板,上海证券交易所
601216.SH,君正集团,4.10,345.9587,345.95871,正常交易,2019-04-11,2011-02-22,内蒙古自治区,CSRC化学原料及化学制品制造业,Wind材料Ⅱ,A股,主板,上海证券交易所
601218.SH,吉鑫科技,3.34,33.1248,33.12478,正常交易,2019-04-11,2011-05-06,江苏省,CSRC专用设备制造业,Wind资本货物,A股,主板,上海证券交易所
601222.SH,林洋能源,5.79,102.1918,101.25997,正常交易,2019-04-11,2011-08-08,江苏省,CSRC仪器仪表制造业,Wind资本货物,A股,主板,上海证券交易所
601225.SH,陕西煤业,9.16,916.0000,916.00000,正常交易,2019-04-11,2014-01-28,陕西省,CSRC煤炭开采和洗选业,Wind能源Ⅱ,A股,主板,上海证券交易所
601226.SH,华电重工,5.71,65.9505,65.95050,正常交易,2019-04-11,2014-12-11,北京,CSRC专业技术服务业,Wind资本货物,A股,主板,上海证券交易所
601228.SH,广州港,5.06,313.3749,73.02491,正常交易,2019-04-11,2017-03-29,广东省,CSRC水上运输业,Wind运输,A股,主板,上海证券交易所
601229.SH,上海银行,12.37,"1,351.8058",642.69293,正常交易,2019-04-11,2016-11-16,上海,CSRC货币金融服务,Wind银行,A股,主板,上海证券交易所
601231.SH,环旭电子,14.48,315.0737,315.07373,正常交易,2019-04-11,2012-02-20,上海,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备,A股,主板,上海证券交易所
601233.SH,桐昆股份,16.90,307.9067,301.55785,正常交易,2019-04-11,2011-05-18,浙江省,CSRC化学纤维制造业,Wind材料Ⅱ,A股,主板,上海证券交易所
